"school_id","school_name","year","long_name","primary_category","student_count_total","student_count_low_income","student_count_black","student_count_hispanic","student_count_white","student_count_asian","student_count_native_american","student_count_other_ethnicity","student_count_asian_pacific_islander","student_count_multi","student_count_hawaiian_pacific_islander","student_count_ethnicity_not_available","number_students_tested_ela","percent_did_not_meet_ela","percent_partially_met_ela","percent_approached_ela","percent_met_ela","percent_exceeded_ela","percent_met_or_exceeded_ela","number_students_tested_math","percent_did_not_meet_math","percent_partially_met_math","percent_approached_math","percent_met_math","percent_exceeded_math","percent_met_or_exceeded_math"
609926,"FRANKLIN",2018,"Franklin Elementary Fine Arts Center","ES",364,115,160,71,94,30,0,0,0,9,0,0,115,20,21.7,31.3,26.1,0.9,27,123,19.5,26,21.1,26.8,6.5,33.3
609818,"BURBANK",2018,"Luther Burbank Elementary School","ES",891,554,46,816,18,4,5,0,0,0,2,0,562,15.3,28.3,30.1,25.4,0.9,26.3,575,18.4,33.7,32.7,14.4,0.7,15.1
609903,"EDWARDS",2018,"Richard Edwards Elementary School","ES",1465,1138,14,1403,25,12,4,0,0,2,2,3,922,20.7,29.8,28.7,19.6,1.1,20.7,936,25.1,34.3,25.4,14.1,1.1,15.2
610276,"MOLLISON",2018,"Irvin C Mollison Elementary School","ES",280,184,277,0,0,1,0,0,0,2,0,0,139,35.3,36.7,18,10.1,0,10.1,132,41.7,36.4,18.9,3,0,3
610047,"MADISON",2018,"James Madison Elementary School","ES",196,145,189,7,0,0,0,0,0,0,0,0,159,39,30.2,17,13.8,0,13.8,159,45.3,28.9,15.7,10.1,0,10.1
610015,"JUNGMAN",2018,"Joseph Jungman Elementary School","ES",284,226,40,218,11,9,4,0,0,2,0,0,144,26.4,21.5,22.9,27.1,2.1,29.2,145,26.9,30.3,24.1,17.9,0.7,18.6
610586,"SOUTHEAST",2018,"Southeast Area Elementary School","ES",596,300,19,561,13,0,3,0,0,0,0,0,303,18.2,25.1,32.7,23.1,1,24.1,306,19,35.9,31.4,12.7,1,13.7
610063,"MCCORMICK",2018,"Cyrus H McCormick Elementary School","ES",614,415,0,612,1,0,0,0,0,1,0,0,333,23.1,27.3,31.8,17.4,0.3,17.7,332,22,38.6,29.8,9.6,0,9.6
610002,"HOYNE",2018,"Thomas Hoyne Elementary School","ES",239,160,237,2,0,0,0,0,0,0,0,0,170,18.2,22.4,28.8,29.4,1.2,30.6,170,18.2,26.5,39.4,15.9,0,15.9
610145,"REINBERG",2018,"Peter A Reinberg Elementary School","ES",752,590,17,558,139,18,4,0,0,10,2,4,437,14,22.4,27,35,1.6,36.6,444,14.9,30.2,32.9,20.9,1.1,22.1
